Wavelength	Actinic_flux	I2	IO	OIO	I2O2	I2O3	I2O4	I2O5	HOI	HI	INO2	INO3	Ibr	Icl	CH3I	CH2I2	CH2ICl	CH2IBr	C2H5I	nC3H7I	iC3H7I
3.11E+02	1.19E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.45E-18	6.18E-18	1.03E-19	9.29E-21	2.48E-19	4.58E-18	7.69E-20	4.53E-20	5.56E-21	3.07E-18	1.02E-19	2.97E-19	6.87E-21	8.47E-21	1.80E-20
3.12E+02	1.11E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.30E-18	5.78E-18	1.14E-19	8.52E-21	2.49E-19	4.54E-18	7.44E-20	4.47E-20	4.97E-21	3.00E-18	9.40E-20	2.81E-19	6.07E-21	7.56E-21	1.59E-20
3.13E+02	1.09E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.15E-18	5.40E-18	1.24E-19	7.81E-21	2.49E-19	4.49E-18	7.18E-20	4.42E-20	4.45E-21	2.93E-18	8.66E-20	2.64E-19	5.35E-21	6.74E-21	1.40E-20
3.14E+02	1.13E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.01E-18	5.03E-18	1.35E-19	7.15E-21	2.50E-19	4.45E-18	6.93E-20	4.36E-20	3.99E-21	2.87E-18	7.91E-20	2.48E-19	4.72E-21	5.99E-21	1.23E-20
3.15E+02	1.09E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.87E-18	4.67E-18	1.45E-19	6.53E-21	2.51E-19	4.41E-18	6.67E-20	4.30E-20	3.59E-21	2.80E-18	7.16E-20	2.31E-19	4.16E-21	5.32E-21	1.09E-20
3.16E+02	9.34E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.75E-18	4.34E-18	1.57E-19	5.96E-21	2.56E-19	4.34E-18	6.41E-20	4.24E-20	3.24E-21	2.73E-18	6.69E-20	2.18E-19	3.67E-21	4.73E-21	9.68E-21
3.17E+02	1.18E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.63E-18	4.02E-18	1.70E-19	5.44E-21	2.61E-19	4.26E-18	6.16E-20	4.18E-20	2.94E-21	2.66E-18	6.21E-20	2.06E-19	3.25E-21	4.21E-21	8.64E-21
3.18E+02	1.16E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.52E-18	3.73E-18	1.82E-19	4.95E-21	2.65E-19	4.19E-18	5.90E-20	4.13E-20	2.67E-21	2.58E-18	5.74E-20	1.93E-19	2.88E-21	3.76E-21	7.75E-21
3.19E+02	1.13E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.41E-18	3.45E-18	1.95E-19	4.50E-21	2.70E-19	4.11E-18	5.65E-20	4.07E-20	2.43E-21	2.51E-18	5.26E-20	1.81E-19	2.55E-21	3.36E-21	6.97E-21
3.20E+02	1.25E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.31E-18	3.20E-18	2.07E-19	4.09E-21	2.75E-19	4.04E-18	5.39E-20	4.01E-20	2.21E-21	2.44E-18	4.79E-20	1.68E-19	2.27E-21	3.01E-21	6.27E-21
