Wavelength	Actinic_flux	SIG	SIGNO3	PHINO3A	PHINO3B
4.78E+02	5.02E+14	6.76E-22	7.30E-19	1	0
4.79E+02	4.92E+14	7.47E-22	7.30E-19	1	0
4.80E+02	5.00E+14	8.17E-22	7.00E-19	1	0
4.81E+02	4.99E+14	8.60E-22	7.10E-19	1	0
4.82E+02	5.00E+14	8.89E-22	7.10E-19	1	0
4.83E+02	4.94E+14	8.87E-22	7.20E-19	1	0
4.84E+02	4.85E+14	8.60E-22	7.70E-19	1	0
4.85E+02	4.83E+14	8.24E-22	8.20E-19	1	0
4.86E+02	3.92E+14	7.95E-22	9.10E-19	1	0
4.87E+02	4.39E+14	7.85E-22	9.20E-19	1	0
4.88E+02	4.75E+14	7.94E-22	9.50E-19	1	0
4.89E+02	4.49E+14	8.23E-22	9.60E-19	1	0
4.90E+02	5.01E+14	8.57E-22	1.03E-18	1	0
4.91E+02	4.82E+14	8.84E-22	9.90E-19	1	0
4.92E+02	4.60E+14	8.96E-22	9.90E-19	1	0
4.93E+02	4.92E+14	9.04E-22	1.01E-18	1	0
4.94E+02	4.81E+14	9.11E-22	1.01E-18	1	0
4.95E+02	5.11E+14	9.28E-22	1.06E-18	1	0
4.96E+02	4.87E+14	9.63E-22	1.21E-18	1	0
4.97E+02	4.95E+14	1.02E-21	1.22E-18	1	0
4.98E+02	4.82E+14	1.10E-21	1.20E-18	1	0
4.99E+02	4.83E+14	1.19E-21	1.17E-18	1	0
5.00E+02	4.82E+14	1.26E-21	1.13E-18	1	0
5.01E+02	4.69E+14	1.37E-21	1.11E-18	1	0
5.02E+02	4.70E+14	1.47E-21	1.11E-18	1	0
5.03E+02	4.94E+14	1.57E-21	1.11E-18	1	0
5.04E+02	4.65E+14	1.63E-21	1.26E-18	1	0
5.05E+02	4.95E+14	1.67E-21	1.28E-18	1	0
5.06E+02	5.16E+14	1.68E-21	1.34E-18	1	0
5.07E+02	4.94E+14	1.67E-21	1.28E-18	1	0
5.08E+02	4.81E+14	1.64E-21	1.27E-18	1	0
5.09E+02	5.04E+14	1.60E-21	1.35E-18	1	0
5.10E+02	4.90E+14	1.58E-21	1.51E-18	1	0
5.11E+02	4.99E+14	1.58E-21	1.73E-18	1	0
5.12E+02	5.13E+14	1.60E-21	1.77E-18	1	0
5.13E+02	4.82E+14	1.63E-21	1.60E-18	1	0
5.14E+02	4.72E+14	1.67E-21	1.58E-18	1	0
5.15E+02	4.86E+14	1.71E-21	1.58E-18	1	0
5.16E+02	4.91E+14	1.74E-21	1.56E-18	1	0
5.17E+02	4.01E+14	1.77E-21	1.49E-18	1	0
5.18E+02	4.59E+14	1.80E-21	1.44E-18	1	0
5.19E+02	4.45E+14	1.83E-21	1.54E-18	1	0
5.20E+02	4.87E+14	1.88E-21	1.68E-18	1	0
5.21E+02	4.91E+14	1.93E-21	1.83E-18	1	0
5.22E+02	5.03E+14	2.00E-21	1.93E-18	1	0
5.23E+02	4.75E+14	2.09E-21	1.77E-18	1	0
5.24E+02	5.12E+14	2.16E-21	1.64E-18	1	0
5.25E+02	5.10E+14	2.26E-21	1.58E-18	1	0
5.26E+02	4.96E+14	2.36E-21	1.63E-18	1	0
5.27E+02	4.35E+14	2.47E-21	1.81E-18	1	0
5.28E+02	5.00E+14	2.57E-21	2.10E-18	1	0
5.29E+02	5.24E+14	2.67E-21	2.39E-18	1	0
5.30E+02	5.05E+14	2.74E-21	2.23E-18	1	0
5.31E+02	5.33E+14	2.81E-21	2.09E-18	1	0
5.32E+02	5.24E+14	2.86E-21	2.02E-18	1	0
5.33E+02	4.69E+14	2.89E-21	1.95E-18	1	0
5.34E+02	5.03E+14	2.90E-21	2.04E-18	1	0
5.35E+02	5.10E+14	2.90E-21	2.30E-18	1	0
5.36E+02	5.33E+14	2.90E-21	2.57E-18	1	0
5.37E+02	4.93E+14	2.90E-21	2.58E-18	1	0
5.38E+02	5.18E+14	2.91E-21	2.34E-18	1	0
5.39E+02	5.06E+14	2.95E-21	2.04E-18	1	0
5.40E+02	4.89E+14	2.99E-21	2.10E-18	1	0
5.41E+02	4.72E+14	3.04E-21	2.04E-18	1	0
5.42E+02	5.15E+14	3.11E-21	1.88E-18	1	0
5.43E+02	5.06E+14	3.17E-21	1.68E-18	1	0
5.44E+02	5.26E+14	3.22E-21	1.70E-18	1	0
5.45E+02	5.14E+14	3.26E-21	1.96E-18	1	0
5.46E+02	5.12E+14	3.30E-21	2.42E-18	1	0
5.47E+02	5.18E+14	3.33E-21	2.91E-18	1	0
5.48E+02	5.04E+14	3.37E-21	2.98E-18	1	0
5.49E+02	5.20E+14	3.39E-21	2.71E-18	1	0
5.50E+02	5.16E+14	3.43E-21	2.48E-18	1	0
5.51E+02	5.16E+14	3.46E-21	2.43E-18	1	0
5.52E+02	5.27E+14	3.50E-21	2.47E-18	1	0
5.53E+02	5.13E+14	3.54E-21	2.53E-18	1	0
5.54E+02	5.24E+14	3.58E-21	2.78E-18	1	0
5.55E+02	5.28E+14	3.64E-21	3.11E-18	1	0
5.56E+02	5.20E+14	3.71E-21	3.26E-18	1	0
5.57E+02	5.08E+14	3.79E-21	3.29E-18	1	0
5.58E+02	5.21E+14	3.86E-21	3.51E-18	1	0
5.59E+02	4.94E+14	3.96E-21	3.72E-18	1	0
5.60E+02	5.04E+14	4.07E-21	3.32E-18	1	0
5.61E+02	5.34E+14	4.15E-21	2.98E-18	1	0
5.62E+02	5.10E+14	4.25E-21	2.90E-18	1	0
5.63E+02	5.30E+14	4.34E-21	2.80E-18	1	0
5.64E+02	5.21E+14	4.42E-21	2.72E-18	1	0
5.65E+02	5.26E+14	4.48E-21	2.73E-18	1	0
5.66E+02	4.99E+14	4.54E-21	2.85E-18	1	0
5.67E+02	5.33E+14	4.60E-21	2.81E-18	1	0
5.68E+02	5.32E+14	4.65E-21	2.85E-18	1	0
5.69E+02	5.25E+14	4.71E-21	2.89E-18	1	0
5.70E+02	5.25E+14	4.77E-21	2.79E-18	1	0
5.71E+02	5.07E+14	4.82E-21	2.76E-18	1	0
5.72E+02	5.39E+14	4.85E-21	2.74E-18	1	0
5.73E+02	5.43E+14	4.88E-21	2.78E-18	1	0
5.74E+02	5.41E+14	4.89E-21	2.86E-18	1	0
5.75E+02	5.31E+14	4.88E-21	3.08E-18	1	0
5.76E+02	5.27E+14	4.85E-21	3.27E-18	1	0
5.77E+02	5.41E+14	4.81E-21	3.38E-18	1	0
5.78E+02	5.24E+14	4.77E-21	3.31E-18	1	0
5.79E+02	5.29E+14	4.72E-21	3.24E-18	1	0
5.80E+02	5.36E+14	4.68E-21	3.34E-18	1	0
5.81E+02	5.36E+14	4.64E-21	3.55E-18	1	0
5.82E+02	5.43E+14	4.60E-21	3.28E-18	1	0
5.83E+02	5.47E+14	4.56E-21	2.93E-18	1	0
5.84E+02	5.45E+14	4.54E-21	2.82E-18	1	0
5.85E+02	5.41E+14	4.52E-21	2.89E-18	0.968	0.032
5.86E+02	5.29E+14	4.50E-21	3.32E-18	0.936	0.064
5.87E+02	5.43E+14	4.50E-21	4.16E-18	0.905	0.095
5.88E+02	5.39E+14	4.51E-21	5.04E-18	0.873	0.127
5.89E+02	4.82E+14	4.52E-21	6.13E-18	0.841	0.159
5.90E+02	5.11E+14	4.55E-21	5.96E-18	0.809	0.191
5.91E+02	5.38E+14	4.58E-21	5.44E-18	0.777	0.223
5.92E+02	5.33E+14	4.64E-21	5.11E-18	0.745	0.255
5.93E+02	5.35E+14	4.72E-21	4.58E-18	0.714	0.286
5.94E+02	5.35E+14	4.79E-21	4.19E-18	0.682	0.318
5.95E+02	5.33E+14	4.89E-21	4.29E-18	0.65	0.35
5.96E+02	5.39E+14	4.97E-21	4.62E-18	0.636	0.342
5.97E+02	5.43E+14	5.07E-21	4.36E-18	0.621	0.334
5.98E+02	5.34E+14	5.14E-21	3.67E-18	0.607	0.327
5.99E+02	5.32E+14	5.21E-21	3.10E-18	0.592	0.319
6.00E+02	5.35E+14	5.27E-21	2.76E-18	0.578	0.311
6.01E+02	5.27E+14	5.29E-21	2.86E-18	0.563	0.303
6.02E+02	5.20E+14	5.30E-21	3.32E-18	0.549	0.296
6.03E+02	5.31E+14	5.28E-21	3.80E-18	0.534	0.288
6.04E+02	5.41E+14	5.24E-21	4.37E-18	0.52	0.28
6.05E+02	5.40E+14	5.20E-21	4.36E-18	0.506	0.272
6.06E+02	5.36E+14	5.13E-21	3.32E-18	0.491	0.264
6.07E+02	5.39E+14	5.06E-21	2.40E-18	0.477	0.257
6.08E+02	5.36E+14	4.96E-21	1.85E-18	0.462	0.249
6.09E+02	5.32E+14	4.89E-21	1.71E-18	0.448	0.241
6.10E+02	5.29E+14	4.81E-21	1.77E-18	0.433	0.233
6.11E+02	5.27E+14	4.72E-21	1.91E-18	0.419	0.226
6.12E+02	5.35E+14	4.65E-21	2.23E-18	0.404	0.218
6.13E+02	5.28E+14	4.57E-21	2.63E-18	0.39	0.21
6.14E+02	5.12E+14	4.50E-21	2.55E-18	0.376	0.202
6.15E+02	5.30E+14	4.42E-21	2.26E-18	0.361	0.194
6.16E+02	5.16E+14	4.35E-21	2.09E-18	0.347	0.187
6.17E+02	5.10E+14	4.29E-21	2.11E-18	0.332	0.179
6.18E+02	5.30E+14	4.23E-21	2.39E-18	0.318	0.171
6.19E+02	5.33E+14	4.17E-21	2.56E-18	0.303	0.163
6.20E+02	5.34E+14	4.13E-21	3.27E-18	0.289	0.156
6.21E+02	5.39E+14	4.08E-21	5.24E-18	0.274	0.148
6.22E+02	5.26E+14	4.04E-21	1.02E-17	0.26	0.14
6.23E+02	5.28E+14	3.99E-21	1.47E-17	0.246	0.132
6.24E+02	5.24E+14	3.93E-21	1.20E-17	0.231	0.124
6.25E+02	5.17E+14	3.89E-21	8.38E-18	0.217	0.117
6.26E+02	5.17E+14	3.84E-21	7.30E-18	0.202	0.109
6.27E+02	5.34E+14	3.78E-21	7.53E-18	0.188	0.101
6.28E+02	5.35E+14	3.73E-21	7.37E-18	0.173	0.093
6.29E+02	5.34E+14	3.68E-21	6.98E-18	0.159	0.086
6.30E+02	5.28E+14	3.62E-21	6.76E-18	0.144	0.078
6.31E+02	5.27E+14	3.57E-21	4.84E-18	0.13	0.07
6.32E+02	5.06E+14	3.52E-21	3.27E-18	0.116	0.062
6.33E+02	5.34E+14	3.46E-21	2.17E-18	0.101	0.054
6.34E+02	5.23E+14	3.41E-21	1.64E-18	0.087	0.047
6.35E+02	5.28E+14	3.35E-21	1.44E-18	0.072	0.039
6.36E+02	5.15E+14	3.29E-21	1.69E-18	0.058	0.031
6.37E+02	5.33E+14	3.24E-21	2.07E-18	0.043	0.023
6.38E+02	5.35E+14	3.17E-21	2.03E-18	0.029	0.016
6.39E+02	5.32E+14	3.11E-21	1.58E-18	0.014	0.008
6.40E+02	5.20E+14	3.04E-21	1.23E-18	0	0
6.41E+02	5.20E+14	2.99E-21	1.00E-18	0	0
