Wavelength	Actinix_flux	Br2	BrO	HOBr	BrNO2	BrNO3
3.70E+02	2.41E+14	1.78E-19	8.16E-19	9.32E-20	1.70E-19	4.66E-20
3.71E+02	2.21E+14	1.89E-19	5.99E-19	9.05E-20	1.70E-19	4.55E-20
3.72E+02	2.14E+14	2.01E-19	4.37E-19	8.79E-20	1.72E-19	4.45E-20
3.73E+02	1.96E+14	2.13E-19	3.61E-19	8.52E-20	1.76E-19	4.35E-20
3.74E+02	1.76E+14	2.26E-19	4.82E-19	8.26E-20	1.78E-19	4.25E-20
3.75E+02	1.86E+14	2.39E-19	6.13E-19	7.99E-20	1.80E-19	4.16E-20
3.76E+02	2.13E+14	2.52E-19	4.70E-19	7.72E-20	1.80E-19	4.07E-20
3.77E+02	2.24E+14	2.65E-19	2.98E-19	7.45E-20	1.78E-19	3.97E-20
3.78E+02	2.69E+14	2.79E-19	2.51E-19	7.19E-20	1.75E-19	3.88E-20
3.79E+02	2.34E+14	2.93E-19	2.02E-19	6.92E-20	1.72E-19	3.79E-20
3.80E+02	2.20E+14	3.07E-19	1.47E-19	6.65E-20	1.70E-19	3.69E-20
3.81E+02	2.40E+14	3.21E-19	1.64E-19	6.40E-20	1.69E-19	3.59E-20
3.82E+02	1.84E+14	3.36E-19	1.66E-19	6.14E-20	1.69E-19	3.49E-20
3.83E+02	1.42E+14	3.50E-19	8.45E-20	5.89E-20	1.70E-19	3.40E-20
3.84E+02	1.59E+14	3.65E-19	4.64E-20	5.63E-20	1.70E-19	3.31E-20
3.85E+02	2.09E+14	3.79E-19	0.00E+00	5.38E-20	1.70E-19	3.23E-20
3.86E+02	1.93E+14	3.94E-19	0.00E+00	5.15E-20	1.69E-19	3.16E-20
3.87E+02	2.02E+14	4.08E-19	0.00E+00	4.92E-20	1.67E-19	3.09E-20
3.88E+02	1.97E+14	4.23E-19	0.00E+00	4.68E-20	1.65E-19	3.02E-20
3.89E+02	2.12E+14	4.37E-19	0.00E+00	4.45E-20	1.62E-19	2.95E-20
3.90E+02	2.46E+14	4.51E-19	0.00E+00	4.22E-20	1.60E-19	2.88E-20
3.91E+02	2.62E+14	4.65E-19	0.00E+00	4.02E-20	1.58E-19	2.81E-20
3.92E+02	2.45E+14	4.79E-19	0.00E+00	3.83E-20	1.56E-19	2.74E-20
3.93E+02	1.47E+14	4.92E-19	0.00E+00	3.63E-20	1.54E-19	2.66E-20
3.94E+02	1.52E+14	5.05E-19	0.00E+00	3.44E-20	1.52E-19	2.60E-20
3.95E+02	2.48E+14	5.18E-19	0.00E+00	3.24E-20	1.50E-19	2.53E-20
3.96E+02	2.32E+14	5.30E-19	0.00E+00	3.08E-20	1.48E-19	2.47E-20
3.97E+02	1.30E+14	5.42E-19	0.00E+00	2.92E-20	1.45E-19	2.41E-20
